hueso,especie,era,estado,pais,yacimiento,fecha
tibia,Argentinosaurus,Cretacico,fragmentado,España,Las Hoyas,29/07/2022
diente,Tyrannosaurus Rex,Cretacico,fragmentado,España,Tabernas,23/10/2023
garra,Tyrannosaurus Rex,Cretacico,fosilizado,España,Lo Hueco,07/02/2024
húmero,Tyrannosaurus Rex,Cretacico,partido,España,Lo Hueco,24/05/2021
garra,Tyrannosaurus Rex,Cretacico,erosión leve,Marruecos,Kem Kem,04/09/2021
craneo,Spinosaurus,Cretacico,erosión leve,España,Lo Hueco,18/10/2022
femur,Argentinosaurus,Cretacico,fosilizado,España,Las Hoyas,18/12/2023
vertebra,Stegosaurus,Jurasico,partido,China,Yixian,09/10/2023
diente,Argentinosaurus,Cretacico,fragmentado,Argentina,Patagonia,22/12/2020
pelvis,Velociraptor,Cretacico,partido,España,Lo Hueco,10/02/2022
