hueso,especie,era,estado,pais,yacimiento,fecha
garra,Spinosaurus,Cretacico,erosión leve,China,Yixian,23/09/2021
femur,Allosaurus,Jurasico,intacto,EEUU,Hell Creek,16/03/2021
tibia,Diplodocus,Jurasico,buen estado,EEUU,Morrison Formation,11/11/2020
femur,Argentinosaurus,Cretacico,intacto,Argentina,Patagonia,15/06/2024
pelvis,Spinosaurus,Cretacico,partido,España,Lo Hueco,19/10/2024
diente,Tyrannosaurus Rex,Cretacico,buen estado,España,Lo Hueco,14/11/2023
femur,Stegosaurus,Jurasico,erosión leve,EEUU,Morrison Formation,30/06/2022
vertebra,Velociraptor,Cretacico,fragmentado,España,Las Hoyas,23/07/2023
pelvis,Allosaurus,Jurasico,fragmentado,España,Las Hoyas,01/12/2021
húmero,Tyrannosaurus Rex,Cretacico,intacto,EEUU,Hell Creek,13/07/2024
