hueso,especie,era,estado,pais,yacimiento,fecha
costilla,Triceratops,Cretacico,erosión leve,China,Yixian,16/01/2021
vertebra,Spinosaurus,Cretacico,fragmentado,China,Yixian,09/01/2023
costilla,Tyrannosaurus Rex,Cretacico,erosión leve,España,Las Hoyas,09/11/2023
costilla,Diplodocus,Jurasico,erosión leve,Marruecos,Kem Kem,30/04/2021
húmero,Velociraptor,Cretacico,fragmentado,España,Tabernas,14/10/2020
craneo,Stegosaurus,Jurasico,fosilizado,Marruecos,Kem Kem,16/12/2022
húmero,Velociraptor,Cretacico,intacto,España,Las Hoyas,02/01/2021
diente,Triceratops,Cretacico,fragmentado,EEUU,Morrison Formation,11/01/2022
costilla,Allosaurus,Jurasico,fosilizado,EEUU,Hell Creek,23/07/2023
garra,Allosaurus,Jurasico,fosilizado,España,Las Hoyas,25/06/2021
