hueso,especie,era,estado,pais,yacimiento,fecha
diente,Stegosaurus,Jurasico,partido,EEUU,Hell Creek,27/04/2022
femur,Triceratops,Cretacico,fosilizado,España,Las Hoyas,12/10/2023
craneo,Tyrannosaurus Rex,Cretacico,partido,España,Las Hoyas,03/06/2021
tibia,Stegosaurus,Jurasico,fragmentado,España,Tabernas,28/11/2023
diente,Diplodocus,Jurasico,erosión leve,EEUU,Hell Creek,13/07/2021
garra,Stegosaurus,Jurasico,buen estado,EEUU,Hell Creek,30/04/2024
femur,Tyrannosaurus Rex,Cretacico,fosilizado,Argentina,Patagonia,15/11/2020
húmero,Allosaurus,Jurasico,fosilizado,China,Yixian,13/06/2021
pelvis,Velociraptor,Cretacico,buen estado,EEUU,Morrison Formation,25/10/2021
vertebra,Velociraptor,Cretacico,fosilizado,España,Lo Hueco,16/01/2020
