hueso,especie,era,estado,pais,yacimiento,fecha
diente,Allosaurus,Jurasico,buen estado,EEUU,Morrison Formation,19/10/2020
costilla,Allosaurus,Jurasico,fragmentado,Argentina,Patagonia,26/05/2021
vertebra,Diplodocus,Jurasico,intacto,EEUU,Morrison Formation,22/05/2023
femur,Spinosaurus,Cretacico,buen estado,Argentina,Patagonia,09/12/2022
vertebra,Stegosaurus,Jurasico,fosilizado,China,Yixian,22/06/2021
costilla,Diplodocus,Jurasico,erosión leve,China,Yixian,12/10/2024
femur,Argentinosaurus,Cretacico,fosilizado,EEUU,Morrison Formation,12/03/2024
húmero,Argentinosaurus,Cretacico,fosilizado,España,Las Hoyas,23/10/2023
craneo,Velociraptor,Cretacico,buen estado,España,Lo Hueco,17/02/2022
diente,Diplodocus,Jurasico,fosilizado,España,Las Hoyas,27/04/2020
