hueso,especie,era,estado,pais,yacimiento,fecha
garra,Tyrannosaurus Rex,Cretacico,fosilizado,EEUU,Morrison Formation,20/05/2021
húmero,Diplodocus,Jurasico,intacto,Marruecos,Kem Kem,13/11/2022
diente,Spinosaurus,Cretacico,buen estado,España,Tabernas,25/01/2024
pelvis,Spinosaurus,Cretacico,erosión leve,España,Las Hoyas,02/11/2021
femur,Spinosaurus,Cretacico,intacto,España,Lo Hueco,01/04/2021
femur,Velociraptor,Cretacico,fosilizado,China,Yixian,04/02/2022
craneo,Argentinosaurus,Cretacico,buen estado,España,Tabernas,10/10/2023
costilla,Tyrannosaurus Rex,Cretacico,fosilizado,España,Las Hoyas,14/03/2022
húmero,Triceratops,Cretacico,fragmentado,España,Lo Hueco,11/06/2021
craneo,Argentinosaurus,Cretacico,partido,España,Las Hoyas,05/01/2022
