hueso,especie,era,estado,pais,yacimiento,fecha
húmero,Stegosaurus,Jurasico,partido,España,Tabernas,04/07/2024
femur,Argentinosaurus,Cretacico,partido,Marruecos,Kem Kem,17/03/2022
húmero,Spinosaurus,Cretacico,buen estado,Argentina,Patagonia,12/03/2023
diente,Argentinosaurus,Cretacico,partido,España,Las Hoyas,29/05/2022
pelvis,Tyrannosaurus Rex,Cretacico,intacto,EEUU,Morrison Formation,06/10/2023
femur,Allosaurus,Jurasico,erosión leve,España,Lo Hueco,31/08/2022
garra,Argentinosaurus,Cretacico,erosión leve,España,Las Hoyas,15/04/2020
garra,Stegosaurus,Jurasico,erosión leve,Marruecos,Kem Kem,12/07/2022
tibia,Argentinosaurus,Cretacico,buen estado,EEUU,Morrison Formation,30/10/2021
craneo,Triceratops,Cretacico,fosilizado,España,Las Hoyas,03/05/2022
