hueso,especie,era,estado,pais,yacimiento,fecha
diente,Allosaurus,Jurasico,erosión leve,EEUU,Morrison Formation,14/09/2020
vertebra,Velociraptor,Cretacico,intacto,España,Lo Hueco,08/01/2022
tibia,Velociraptor,Cretacico,intacto,Marruecos,Kem Kem,24/09/2022
tibia,Velociraptor,Cretacico,fosilizado,EEUU,Morrison Formation,08/08/2021
femur,Diplodocus,Jurasico,fragmentado,España,Lo Hueco,25/08/2020
craneo,Diplodocus,Jurasico,fosilizado,España,Lo Hueco,19/11/2024
diente,Velociraptor,Cretacico,partido,China,Yixian,25/04/2023
vertebra,Diplodocus,Jurasico,intacto,Argentina,Patagonia,05/04/2020
garra,Allosaurus,Jurasico,fragmentado,Marruecos,Kem Kem,24/02/2021
vertebra,Argentinosaurus,Cretacico,erosión leve,España,Las Hoyas,12/01/2023
